german,article,plural,level,glosses,example_de,example_en
Bewusstsein,das,(usually uncountable),B2,Consciousness,TBD,TBD
Taschentuch,das,Taschentücher,A2,Handkerchief,TBD,TBD
Tanzen,das,(usually uncountable),A2,Dancing,TBD,TBD
Parfüm,das,Parfüms,A2,Perfume,TBD,TBD
Netzwerk,das,Netzwerke,B2,Network,TBD,TBD
Forderung,die,Forderungen,B2,Claim,TBD,TBD
Nonne,die,Nonnen,A2,Nun,TBD,TBD
Krone,die,Kronen,A2,Crown,TBD,TBD
Geländer,das,Geländer,A2,Railing,TBD,TBD
Lizenz,die,Lizenzen,B1,License,TBD,TBD
Gnade,die,(usually uncountable),B1,Mercy,TBD,TBD
Ballon,der,Ballons,A2,Balloon,TBD,TBD
Chaos,das,(usually uncountable),B1,Chaos,TBD,TBD
Fieber,das,(usually uncountable),B1,Fever,TBD,TBD
Schließfach,der,Schließfächer,A2,Locker,TBD,TBD
Sitzung,die,Sitzungen,B2,Session,TBD,TBD
Ausbruch,der,Ausbrüche,B1,Burst,TBD,TBD
Gipfel,der,Gipfel,A2,Peak,TBD,TBD
Trommel,die,Trommeln,A2,Drum,TBD,TBD
Fokus,der,Foki,B1,Focus,TBD,TBD
Frosch,der,Frösche,A1,Frog,TBD,TBD
Nutzen,der,Nutzen,B1,Benefit,TBD,TBD
Bemerkung,die,Bemerkungen,B2,Remark,TBD,TBD
Flut,die,Fluten,A2,Tide,TBD,TBD
Verdacht,der,Verdächte,B1,Suspicion,TBD,TBD
Jeep,der,Jeeps,A2,Jeep,TBD,TBD
Sorge,die,Sorgen,A2,Worry,TBD,TBD
Literatur,die,(usually uncountable),B2,Literature,TBD,TBD
Bogenschütze,der,Bogenschützen,A2,Archer,TBD,TBD
Haushalt,der,Haushalte,B1,Household,TBD,TBD
Pulver,das,Pulver,A2,Powder,TBD,TBD
Hirte,der,Hirten,A2,Shepherd,TBD,TBD
Linse,die,Linsen,A2,Lens,TBD,TBD
Favorit,der,Favoriten,B1,Favorite,TBD,TBD
Dame,die,(no plural form),A2,Madame,TBD,TBD
Villa,die,Villen,A2,Mansion,TBD,TBD
Boom,der,Booms,A2,Boom,TBD,TBD
Spitze,die,Spitzen,A2,Lace,TBD,TBD
Bewertung,die,Bewertungen,B2,Review,TBD,TBD
Empfang,der,Empfänge,B2,Reception,TBD,TBD
Schrott,der,(usually uncountable),A2,Scrap,TBD,TBD
Perle,die,Perlen,A2,Bead,TBD,TBD
Blenden,das,(usually uncountable),B1,Glare,TBD,TBD
Fluss,der,Flüsse,A2,Flow,TBD,TBD
Café,das,Cafés,A2,Cafe,TBD,TBD
Status,der,Stati,B2,Status,TBD,TBD
Hämmern,das,(usually uncountable),B1,Pounding,TBD,TBD
Rakete,die,Raketen,A2,Rocket,TBD,TBD
Schlucht,die,Schluchten,A2,Canyon,TBD,TBD
Trauer,die,(usually uncountable),B1,Sorrow,TBD,TBD
Spinne,die,Spinnen,A1,Spider,TBD,TBD
Explosion,die,Explosionen,B2,Blast,TBD,TBD
Persönlichkeit,die,Persönlichkeiten,C1,Personality,TBD,TBD
Campus,der,Campi,B2,Campus,TBD,TBD
Fluch,der,Flüche,A2,Curse,TBD,TBD
Treppenhaus,das,Treppenhäuser,A2,Staircase,TBD,TBD
Drang,der,Dränge,B1,Urge,TBD,TBD
Frustration,die,(usually uncountable),B2,Frustration,TBD,TBD
Pumpe,die,Pumpen,A2,Pump,TBD,TBD
Leichtigkeit,die,(usually uncountable),C1,Ease,TBD,TBD
Graf,der,Grafen,B2,Count,TBD,TBD
Lösung,die,Lösungen,B1,Solution,TBD,TBD
Schmuck,der,(usually uncountable),A2,Jewelry,TBD,TBD
Sirene,die,Sirenen,A2,Siren,TBD,TBD
Hit,der,Hits,A2,Hit,TBD,TBD
Tradition,die,Traditionen,B2,Tradition,TBD,TBD
Bordstein,der,Bordsteine,A2,Curb,TBD,TBD
Vielfalt,die,Vielfalten,B1,Variety,TBD,TBD
Pirat,der,Piraten,A2,Pirate,TBD,TBD
Beschreibung,die,Beschreibungen,B2,Description,TBD,TBD
Liebling,der,Lieblinge,A2,Dear,TBD,TBD
Angst,die,Ängste,B1,Anxiety,TBD,TBD
Tonhöhe,die,Tonhöhen,B2,Pitch,TBD,TBD
Pizza,die,Pizzen,A2,Pizza,TBD,TBD
Elefant,der,Elefanten,A2,Elephant,TBD,TBD
Politik,die,(usually uncountable),B2,Politics,TBD,TBD
Tennis,das,(usually uncountable),A2,Tennis,TBD,TBD
Hunger,der,(usually uncountable),A2,Hunger,TBD,TBD
Genie,das,Genies,B1,Genius,TBD,TBD
Ziege,die,Ziegen,A1,Goat,TBD,TBD
Sieg,der,Siege,B1,Victory,TBD,TBD
Kombination,die,Kombinationen,B2,Combination,TBD,TBD
Zugehörigkeit,die,Zugehörigkeiten,C1,Affiliation,TBD,TBD
Mama,die,Mamas,A1,Momma,TBD,TBD
Kap,das,Kaps,B2,Cape,TBD,TBD
Scheinwerfer,der,Scheinwerfer,A2,Headlight,TBD,TBD
Gouverneur,der,Gouverneure,B2,Governor,TBD,TBD
Sauerstoff,der,(usually uncountable),B2,Oxygen,TBD,TBD
Bischof,der,Bischöfe,A2,Bishop,TBD,TBD
Bündel,das,Bündel,A2,Bundle,TBD,TBD
Entwicklung,die,Entwicklungen,B2,Development,TBD,TBD
Fingernagel,der,Fingernägel,A2,Fingernail,TBD,TBD
Punktestand,der,Punktestände,B2,Score,TBD,TBD
Kamerad,der,Kameraden,A2,Mate,TBD,TBD
Reiter,der,Reiter,A2,Rider,TBD,TBD
Umlaufbahn,die,Umlaufbahnen,B2,Orbit,TBD,TBD
Rebe,die,Reben,A2,Vine,TBD,TBD
Suite,die,Suiten,A2,Suite,TBD,TBD
Barkeeper,der,Barkeeper,A2,Bartender,TBD,TBD
Cola,die,(usually uncountable),A2,Coke,TBD,TBD
Melodie,die,Melodien,A2,Tune,TBD,TBD
Ruhm,der,(usually uncountable),B1,Glory,TBD,TBD
Rabbi,der,(plural form is Rabbiner),A2,Rabbi,TBD,TBD
Operation,die,Operationen,B2,Surgery,TBD,TBD
Rindvieh,das,(usually uncountable),A2,Cattle,TBD,TBD
Ritual,das,Rituale,B1,Ritual,TBD,TBD
Gruß,der,Grüße,A2,Greeting,TBD,TBD
Scheibe,die,Scheiben,A2,Slice,TBD,TBD
Homer,der,Homers,B2,Homer,TBD,TBD
Kamin,der,Kamine,A2,Fireplace,TBD,TBD
Trikot,das,Trikots,A2,Jersey,TBD,TBD
Medien,die,(plural noun),B1,Media,TBD,TBD
Knall,der,Knalle,A2,Pop,TBD,TBD
Ladung,die,Ladungen,A2,Cargo,TBD,TBD
Herberge,die,Herbergen,A2,Inn,TBD,TBD
Stellvertreter,der,Stellvertreter,B2,Deputy,TBD,TBD
Verzweiflung,die,(usually uncountable),B2,Despair,TBD,TBD
Gebiet,das,Gebiete,B1,Territory,TBD,TBD
Schlag,der,Schläge,B1,Punch,TBD,TBD
Jazz,der,(usually uncountable),A2,Jazz,TBD,TBD
Umarmung,die,Umarmungen,A2,Hug,TBD,TBD
Pfeife,die,Pfeifen,A2,Whistle,TBD,TBD
Menschheit,die,(usually uncountable),B2,Humanity,TBD,TBD
Handwerk,das,Handwerke,B1,Craft,TBD,TBD
Tageslicht,das,(usually uncountable),A2,Daylight,TBD,TBD
Wert,der,Werte,B1,Worth,TBD,TBD
Einlage,die,Einlagen,B1,Slip,TBD,TBD
Rüstung,die,Rüstungen,B1,Armor,TBD,TBD
Rucksack,der,Rucksäcke,A2,Backpack,TBD,TBD
Vorschlag,der,Vorschläge,B1,Suggestion,TBD,TBD
Höhle,die,Höhlen,A1,Den,TBD,TBD
Symbol,das,Symbole,B1,Symbol,TBD,TBD
Kolonie,die,Kolonien,B1,Colony,TBD,TBD
Schluss,der,Schlüsse,B1,Conclusion,TBD,TBD
Nasenloch,das,Nasenlöcher,A2,Nostril,TBD,TBD
Speer,der,Speere,A2,Spear,TBD,TBD
Impuls,der,Impulse,B1,Impulse,TBD,TBD
Tomate,die,Tomaten,A2,Tomato,TBD,TBD
Kalb,das,Kälber,A2,Calf,TBD,TBD
Herbst,der,(usually uncountable),A1,Autumn,TBD,TBD
Entdeckung,die,Entdeckungen,B2,Discovery,TBD,TBD
Klassenzimmer,das,Klassenzimmer,A2,Classroom,TBD,TBD
Lieferung,die,Lieferungen,B2,Delivery,TBD,TBD
Spray,das,Sprays,A2,Spray,TBD,TBD
Flüssigkeit,die,Flüssigkeiten,B2,Liquid,TBD,TBD
Treibstoff,der,(usually uncountable),B2,Fuel,TBD,TBD
Unterwäsche,die,(no plural form),A2,Underwear,TBD,TBD
Kuppel,die,Kuppeln,B1,Dome,TBD,TBD
Bevölkerung,die,(usually uncountable),B2,Population,TBD,TBD
Zuneigung,die,(usually uncountable),B2,Affection,TBD,TBD
Religion,die,Religionen,B1,Religion,TBD,TBD
Sänger,der,Sängerinnen,A2,Singer,TBD,TBD
Bedienstete,der,Bediensteten,B2,Attendant,TBD,TBD
Illusion,die,Illusionen,B1,Illusion,TBD,TBD
Link,der,Links,A2,Link,TBD,TBD
Lounge,die,Lounges,A2,Lounge,TBD,TBD
Innere,das,Innenräume,B1,Interior,TBD,TBD
Achselzucken,das,(usually uncountable),B2,Shrug,TBD,TBD
Zone,die,Zonen,A2,Zone,TBD,TBD
Standard,der,Standards,B1,Standard,TBD,TBD
Kohle,die,(usually uncountable),A2,Coal,TBD,TBD
Jagd,die,Jagden,A2,Chase,TBD,TBD
Kloß,der,Klöße,A2,Lump,TBD,TBD
Charme,der,Charmes,B2,Charm,TBD,TBD
Legende,die,Legenden,B1,Legend,TBD,TBD
Konsequenz,die,Konsequenzen,C1,Consequence,TBD,TBD
Beobachtung,die,Beobachtungen,B2,Observation,TBD,TBD
Fahrrad,das,Fahrräder,A1,Bicycle,TBD,TBD
Schaden,der,(usually uncountable),B1,Harm,TBD,TBD
Lohn,der,Löhne,A2,Pay,TBD,TBD
Aussicht,die,Aussichten,B1,Prospect,TBD,TBD
U-Bahn,die,U-Bahnen,A2,Subway,TBD,TBD
Muster,das,Muster,B1,Sample,TBD,TBD
Kirsche,die,Kirschen,A1,Cherry,TBD,TBD
Händler,der,Händler,B1,Dealer,TBD,TBD
Aufgabe,die,Aufgaben,A2,Assignment,TBD,TBD
Eile,die,(usually uncountable),A2,Hurry,TBD,TBD
Geliebte,die,Geliebten,B1,Mistress,TBD,TBD
Hügel,der,Hügel,A2,Mound,TBD,TBD
Unsinn,der,(usually uncountable),B1,Nonsense,TBD,TBD
Ausschuss,der,Ausschüsse,B2,Committee,TBD,TBD
Echo,das,Echos,A2,Echo,TBD,TBD
Nachgiebigkeit,die,(usually uncountable),C1,Slack,TBD,TBD
Decker,die,(plural noun),B1,Decker,TBD,TBD
Lager,das,Lager,A2,Warehouse,TBD,TBD
Kampf,der,Kämpfe,A2,Bout,TBD,TBD
Toast,der,Toasts,A2,Toast,TBD,TBD
Einrichtung,die,Einrichtungen,B2,Facility,TBD,TBD
Basketball,der,(usually uncountable),A2,Basketball,TBD,TBD
Schnurrbart,der,Schnurrbärte,A2,Mustache,TBD,TBD
Senator,der,Senatoren,B2,Senator,TBD,TBD
Aktie,die,Aktien,B2,Share,TBD,TBD
Augenlid,das,Augenlider,A2,Eyelid,TBD,TBD
Begeisterung,die,(usually uncountable),B2,Enthusiasm,TBD,TBD
Stück,das,Stücke,A2,Chunk,TBD,TBD
Schildkröte,die,Schildkröten,A1,Turtle,TBD,TBD
Alkohol,der,(usually uncountable),A2,Alcohol,TBD,TBD
Kaugummi,der,Kaugummis,A2,Gum,TBD,TBD
Truthahn,der,Truthähne,A2,Turkey,TBD,TBD
Prediger,der,Prediger,B2,Preacher,TBD,TBD
Besitz,der,(usually uncountable),B1,Possession,TBD,TBD
Sackkarre,die,Sackkarren,B2,Dolly,TBD,TBD
Leinen,das,(usually uncountable),B1,Linen,TBD,TBD
Entschuldigung,die,Entschuldigungen,B1,Apology,TBD,TBD
Vortrag,der,Vorträge,B1,Lecture,TBD,TBD
Fels,der,Felsen,A2,Boulder,TBD,TBD
Haufen,der,Haufen,A2,Heap,TBD,TBD
Fotograf,der,Fotografen,A2,Photographer,TBD,TBD
Bremse,die,Bremsen,A2,Brake,TBD,TBD
Nachfrage,die,Nachfragen,B2,Demand,TBD,TBD
Schürze,die,Schürzen,A2,Apron,TBD,TBD
Umhang,der,Umhänge,A2,Cloak,TBD,TBD
Jury,die,Jurys,B1,Jury,TBD,TBD
Anhörung,die,Anhörungen,B2,Hearing,TBD,TBD
Grau,das,(usually uncountable),A1,Gray,TBD,TBD
Kiste,die,Kisten,A2,Crate,TBD,TBD
Methode,die,Methoden,B1,Method,TBD,TBD
Referenz,die,Referenzen,B2,Reference,TBD,TBD
Ekel,der,(usually uncountable),B1,Disgust,TBD,TBD
Schnaps,der,Schnäpse,A2,Liquor,TBD,TBD
Lippenstift,der,Lippenstifte,A2,Lipstick,TBD,TBD
Kern,der,Kerne,A2,Core,TBD,TBD
Individuum,das,Individuen,B2,Individual,TBD,TBD
Container,der,Container,A2,Container,TBD,TBD
Hure,die,Huren,A2,Whore,TBD,TBD
Kleinkind,das,Kleinkinder,A2,Infant,TBD,TBD
Sonnenbrille,die,Sonnenbrillen,A2,Sunglasses,TBD,TBD
Hose,die,Hosen,A2,Hose,TBD,TBD
Konzert,das,Konzerte,B1,Concert,TBD,TBD
Unsinn,der,(usually uncountable),B1,Bullshit,TBD,TBD
Eisenbahn,die,Eisenbahnen,A2,Railroad,TBD,TBD
Parade,die,Paraden,A2,Parade,TBD,TBD
Abteil,das,Abteile,B1,Compartment,TBD,TBD
Bewohner,der,Bewohner,B1,Resident,TBD,TBD
Ofen,der,Öfen,A2,Oven,TBD,TBD
Techniker,der,Techniker,B2,Technician,TBD,TBD
Verfahren,das,Verfahren,B2,Procedure,TBD,TBD
Kämpfer,der,Kämpfer,A2,Fighter,TBD,TBD
Korn,das,Körner,A2,Grain,TBD,TBD
Picknick,das,Picknicks,A2,Picnic,TBD,TBD
Stamm,der,Stämme,A2,Tribe,TBD,TBD
Knospe,die,Knospen,A2,Bud,TBD,TBD
Wiese,die,Wiesen,A1,Meadow,TBD,TBD
Öffentlichkeit,die,(usually uncountable),C1,Public,TBD,TBD
Gift,das,Gifte,A2,Poison,TBD,TBD
Büffel,der,Büffel,A2,Buffalo,TBD,TBD
Region,die,Regionen,B2,Region,TBD,TBD
Produktion,die,Produktionen,B2,Production,TBD,TBD
Laufen,das,(usually uncountable),A2,Running,TBD,TBD
Schleife,die,Schleifen,A2,Loop,TBD,TBD
Schlafen,das,(usually uncountable),A2,Sleeping,TBD,TBD
Limonade,die,Limonaden,A2,Soda,TBD,TBD
Eule,die,Eulen,A1,Owl,TBD,TBD
Menü,das,Menüs,A2,Menu,TBD,TBD
Tritt,der,Tritte,A2,Kick,TBD,TBD
Ruin,der,Ruinen,A2,Ruin,TBD,TBD
Rampe,die,Rampen,A2,Ramp,TBD,TBD
Streif,die,Streifen,B1,Streak,TBD,TBD
Unterarm,der,Unterarme,A2,Forearm,TBD,TBD
Büro,das,Büros,A2,Bureau,TBD,TBD
Gelenk,das,Gelenke,A2,Knuckle,TBD,TBD
Gans,die,Gänse,A1,Goose,TBD,TBD
Fortschritt,der,Fortschritte,B2,Advance,TBD,TBD
Fee,die,Feen,A2,Fairy,TBD,TBD
Krankheit,die,Krankheiten,B1,Illness,TBD,TBD
Kommando,das,Kommandos,B1,Squad,TBD,TBD
Beamte,der,Beamten,B1,Official,TBD,TBD
Marke,die,Marken,A2,Brand,TBD,TBD
Organ,das,Organe,A2,Organ,TBD,TBD
Schmetterling,der,Schmetterlinge,A2,Butterfly,TBD,TBD
Imperium,das,Reiche,B1,Empire,TBD,TBD
Profil,das,Profile,B1,Profile,TBD,TBD
Freiheit,die,Freiheiten,B1,Liberty,TBD,TBD
Unglaube,der,(usually uncountable),B2,Disbelief,TBD,TBD
Hain,der,Haine,B2,Grove,TBD,TBD
Schild,der,Schilde,A2,Shield,TBD,TBD
Sattel,der,Sättel,A2,Saddle,TBD,TBD
Chancen,die,(plural noun),B1,Odds,TBD,TBD
Cluster,der,Cluster,B2,Cluster,TBD,TBD
Satellit,der,Satelliten,B1,Satellite,TBD,TBD
Auslöser,der,Auslöser,B1,Trigger,TBD,TBD
Welpe,der,Welpen,A1,Puppy,TBD,TBD
Warten,das,(usually uncountable),B1,Waiting,TBD,TBD
Glühbirne,die,Glühbirnen,A2,Bulb,TBD,TBD
Kommode,die,Kommoden,A2,Dresser,TBD,TBD
Patrouille,die,Patrouillen,B2,Patrol,TBD,TBD
Adler,der,Adler,A2,Eagle,TBD,TBD
Privatsphäre,die,(no plural form),B2,Privacy,TBD,TBD
Flüssigkeit,die,Flüssigkeiten,B2,Fluid,TBD,TBD
Herde,die,(plural noun),A2,Herd,TBD,TBD
Kopfschmerzen,die,(plural noun),A2,Headache,TBD,TBD
Unterhaltung,die,Unterhaltungen,B2,Amusement,TBD,TBD
Rollstuhl,der,Rollstühle,A2,Wheelchair,TBD,TBD
Politik,die,(usually uncountable),B2,Policy,TBD,TBD
Schönheit,die,Schönheiten,B2,Belle,TBD,TBD
Tabak,der,(usually uncountable),A2,Tobacco,TBD,TBD
Einstellung,die,Einstellungen,B2,Setting,TBD,TBD
Tattoo,das,Tattoos,A2,Tattoo,TBD,TBD
Belastung,die,Belastungen,B2,Burden,TBD,TBD
Händler,der,Händler,A2,Merchant,TBD,TBD
Rutsche,die,Rutschen,A2,Slide,TBD,TBD
Fleck,der,Flecken,A2,Stain,TBD,TBD
Essen,das,(usually uncountable),A1,Eating,TBD,TBD
Bindung,die,Bindungen,B1,Bond,TBD,TBD
Schwimmen,das,(usually uncountable),A2,Swimming,TBD,TBD
Stiftung,die,Stiftungen,B2,Foundation,TBD,TBD
Verletzung,die,Verletzungen,B2,Injury,TBD,TBD
Liga,die,Ligen,A2,League,TBD,TBD
Batterie,die,Batterien,A2,Battery,TBD,TBD
Regenschirm,der,Regenschirme,A1,Umbrella,TBD,TBD
Kaiser,der,Kaiser,A2,Emperor,TBD,TBD
Pier,der,Piers,A2,Pier,TBD,TBD
Wasserhahn,der,Wasserhähne,A2,Tap,TBD,TBD
Witz,das,Witze,A2,Wit,TBD,TBD
Cutter,der,Cutter,A2,Cutter,TBD,TBD
Dachboden,der,Dachböden,A2,Attic,TBD,TBD
Tiger,der,Tiger,A2,Tiger,TBD,TBD
Freund,der,Freunde,A2,Pal,TBD,TBD
Vorfahr,der,Vorfahren,B1,Ancestor,TBD,TBD
Konzentration,die,(usually uncountable),C1,Concentration,TBD,TBD
Berg,der,Berge,A1,Mount,TBD,TBD
Kosten,die,(plural noun),B1,Expense,TBD,TBD
Segen,der,Segen,A2,Blessing,TBD,TBD
Urlaub,der,(usually uncountable),A2,Leave,TBD,TBD
Vorsprung,der,Vorsprünge,B2,Ledge,TBD,TBD
Fackel,die,Fackeln,A2,Torch,TBD,TBD
Tinte,die,(usually uncountable),A2,Ink,TBD,TBD
Handlung,die,Handlungen,B1,Plot,TBD,TBD
Miete,die,Mieten,A2,Rent,TBD,TBD
Maultier,die,Maultiere,A2,Mule,TBD,TBD
Bogen,der,Bögen,A2,Arch,TBD,TBD
Umwelt,die,Umwelten,B2,Environment,TBD,TBD
Stirnrunzeln,die,(plural noun),B2,Frown,TBD,TBD
Inspektor,der,Inspektoren,B2,Inspector,TBD,TBD
Mitte,die,Mitte,A1,Midst,TBD,TBD
Peinlichkeit,die,Peinlichkeiten,B1,Embarrassment,TBD,TBD
Beschwerde,die,Beschwerden,B1,Complaint,TBD,TBD
Portion,die,Portionen,A2,Portion,TBD,TBD
Wegwerfen,die,(usually uncountable),B2,Chuck,TBD,TBD
Lichtung,die,Lichtungen,A2,Clearing,TBD,TBD
Krise,die,Krisen,B1,Crisis,TBD,TBD
Halskette,die,Halsketten,A2,Necklace,TBD,TBD
Laterne,die,Laternen,A2,Lantern,TBD,TBD
Reichtum,der,(usually uncountable),B1,Wealth,TBD,TBD
Mörder,der,Mörder,B1,Murderer,TBD,TBD
Zivilisation,die,Zivilisationen,B2,Civilization,TBD,TBD
Konzept,das,Konzepte,B2,Concept,TBD,TBD
Lamm,das,Lämmer,A2,Lamb,TBD,TBD
Schritt,die,Schritte,A2,Stride,TBD,TBD
Manschette,das,Manschetten,B2,Cuff,TBD,TBD
Jungfrau,die,Jungfrauen,B1,Virgin,TBD,TBD
Eichhörnchen,das,Eichhörnchen,A2,Squirrel,TBD,TBD
Baby,das,Babys,A1,Babe,TBD,TBD
Star,der,Stare,A2,Starling,TBD,TBD
Depression,die,Depressionen,B2,Depression,TBD,TBD
Lagerung,die,Lagerungen,B2,Storage,TBD,TBD
Altar,der,Altäre,A2,Altar,TBD,TBD
Tragödie,die,Tragödien,B1,Tragedy,TBD,TBD
Ressource,die,Ressourcen,B2,Resource,TBD,TBD
Reisende,der,Reisenden,A2,Traveler,TBD,TBD
Vertrauen,das,(usually uncountable),B1,Trust,TBD,TBD
Bogen,der,Bögen,A2,Arc,TBD,TBD
Königreich,das,Königreiche,B2,Kingdom,TBD,TBD
Juwel,das,Juwelen,A2,Jewel,TBD,TBD
Musiker,der,Musiker,A2,Musician,TBD,TBD
Flugzeug,das,Flugzeuge,A2,Airplane,TBD,TBD
Müll,der,(usually uncountable),A2,Junk,TBD,TBD
Sonnenschein,der,(usually uncountable),A1,Sunshine,TBD,TBD
Junge,der,Jungen,A1,Lad,TBD,TBD
Elf,der,Elfen,A2,Elf,TBD,TBD
Protest,der,Proteste,B1,Protest,TBD,TBD
Jagd,die,Jagden,A2,Hunt,TBD,TBD
Geschäftsführer,der,Geschäftsführer,B2,Executive,TBD,TBD
Tagebuch,das,Tagebücher,A2,Diary,TBD,TBD
Aspekt,der,Aspekte,B2,Aspect,TBD,TBD
Zifferblatt,das,Zifferblätter,A2,Dial,TBD,TBD
Pantoffel,der,Pantoffel,A2,Slipper,TBD,TBD
Schauspielerin,die,Schauspielerinnen,A2,Actress,TBD,TBD
Schießen,das,(usually uncountable),A2,Shooting,TBD,TBD
Ohrring,der,Ohrringe,A2,Earring,TBD,TBD
Ameise,die,Ameisen,A1,Ant,TBD,TBD
Brötchen,das,Brötchen,A1,Bread roll,TBD,TBD
Sauce,die,Saucen,A2,Sauce,TBD,TBD
Rakete,die,Raketen,A2,Missile,TBD,TBD
Intensität,die,(usually uncountable),B2,Intensity,TBD,TBD
Graben,der,Gräben,A2,Ditch,TBD,TBD
Gänseblümchen,das,Gänseblümchen,A2,Daisy,TBD,TBD
Kapelle,die,Kapellen,A2,Chapel,TBD,TBD
Sumpf,das,Sümpfe,A2,Swamp,TBD,TBD
Beziehung,die,Beziehungen,B1,Relation,TBD,TBD
Vermutung,die,Vermutungen,B1,Guess,TBD,TBD
Kran,der,Kräne,A2,Crane,TBD,TBD
Aufeinandertreffen,das,Aufeinandertreffen,B2,Encounter,TBD,TBD
Abfolge,die,Abfolgen,B1,Sequence,TBD,TBD
Fragment,das,Fragmente,B1,Fragment,TBD,TBD
Ausarbeitung,die,Ausarbeitungen,B2,Draft,TBD,TBD
Speiselokal,das,Speiselokale,B2,Diner,TBD,TBD
Funktion,die,Funktionen,B1,Function,TBD,TBD
Organisation,die,Organisationen,B2,Organization,TBD,TBD
Skelett,das,Skelette,A2,Skeleton,TBD,TBD
Elend,das,(usually uncountable),B1,Misery,TBD,TBD
Kraut,das,Kräuter,A2,Herb,TBD,TBD
Stumpf,der,Stümpfe,A2,Stump,TBD,TBD
Einsatz,der,Einsätze,B1,Stake,TBD,TBD
Puff,das,Puffs,A2,Puff,TBD,TBD
Schaffung,die,Schaffungen,B2,Creation,TBD,TBD
Erwachen,das,Erwachen,B2,Wake,TBD,TBD
Zauberer,der,Zauberer,A2,Wizard,TBD,TBD
Matte,das,Matten,A2,Mat,TBD,TBD
Dichtung,die,Dichtungen,B2,Seal,TBD,TBD
Dämmerung,die,(usually uncountable),B2,Twilight,TBD,TBD
Grunzen,das,Grunzen,A2,Grunt,TBD,TBD
Bestrafung,die,Bestrafungen,B2,Punishment,TBD,TBD
Clan,der,Clans,A2,Clan,TBD,TBD
Kupfer,das,(usually uncountable),B1,Copper,TBD,TBD
Schutt,der,(no plural form),B1,Debris,TBD,TBD
Maler,der,Maler,A2,Painter,TBD,TBD
Lenkung,die,Lenkungen,B2,Steering,TBD,TBD
Mathematik,die,(usually uncountable),B2,Math,TBD,TBD
Anerkennung,die,(usually uncountable),B2,Recognition,TBD,TBD
Gemüt,der,(usually uncountable),B1,Temper,TBD,TBD
Bedauern,das,(usually uncountable),B1,Regret,TBD,TBD
Ziel,das,Ziele,A2,Destination,TBD,TBD
Mühle,die,Mühlen,A2,Mill,TBD,TBD
Fehler,der,Fehler,B1,Error,TBD,TBD
Romanze,die,Romanzen,B1,Romance,TBD,TBD
Thema,das,Themen,A2,Topic,TBD,TBD
Terrasse,die,Terrassen,A2,Patio,TBD,TBD
Schaufel,die,Schaufeln,A2,Shovel,TBD,TBD
Schlafanzug,der,Schlafanzüge,A2,Pajamas,TBD,TBD
E-Mail,die,E-Mails,A2,EMail,TBD,TBD
Taube,die,Tauben,A1,Pigeon,TBD,TBD
Dinosaurier,der,Dinosaurier,A2,Dinosaur,TBD,TBD
Industrie,die,Industrien,B2,Industry,TBD,TBD
Operator,der,Operatoren,B2,Operator,TBD,TBD
Aufzug,der,Aufzüge,A2,Lift,TBD,TBD
Berater,der,Berater,B1,Counselor,TBD,TBD
Treffen,das,Treffen,A2,Gathering,TBD,TBD
Prinzip,das,Prinzipien,B1,Principle,TBD,TBD
Drama,das,Dramen,B1,Drama,TBD,TBD
Küken,das,Küken,A1,Chick,TBD,TBD
Diagramm,das,Diagramme,B1,Chart,TBD,TBD
Kampagne,die,Kampagnen,B2,Campaign,TBD,TBD
Lorbeer,der,Lorbeeren,B2,Laurel,TBD,TBD
Steak,das,Steaks,A2,Steak,TBD,TBD
Verbrecher,der,Verbrecher,B1,Criminal,TBD,TBD
Globus,der,Globen,A2,Globe,TBD,TBD
Bluterguss,der,Blutergüsse,B2,Bruise,TBD,TBD
Knopf,der,Knöpfe,A2,Knob,TBD,TBD
Mord,der,Morde,B1,Killing,TBD,TBD
Liebste,die,Liebsten,A2,Sweetheart,TBD,TBD
Oper,die,Opern,A2,Opera,TBD,TBD
Frost,der,(no plural form),A2,Frost,TBD,TBD
Brustwarze,die,Brustwarzen,A2,Nipple,TBD,TBD
Pfarrer,der,Pfarrer,A2,Reverend,TBD,TBD
Dunst,der,(usually uncountable),A2,Haze,TBD,TBD
Überschwemmung,die,Überschwemmungen,B1,Flood,TBD,TBD
Lied,das,Lieder,A1,Carol,TBD,TBD
Schwäche,die,Schwächen,B1,Weakness,TBD,TBD
Kochen,das,(usually uncountable),A2,Cooking,TBD,TBD
